City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Christchurch,NZ,-43.5333,172.6333,64.6,63,97,4.0,overcast clouds
284,Barra Dos Coqueiros,BR,-10.9089,-37.0386,78.82,83,40,11.5,scattered clouds
285,Pauini,BR,-7.7136,-66.9764,75.9,81,45,2.93,scattered clouds
286,Nicoya,CR,10.1483,-85.452,72.95,91,91,2.01,overcast clouds
287,Hun,LY,29.1268,15.9477,74.26,57,91,7.29,overcast clouds
288,Kui Buri,TH,12.0828,99.8543,84.2,73,100,2.55,light rain
289,Eureka,US,40.8021,-124.1637,61.66,76,4,1.36,clear sky
290,Kalanchak,UA,46.2562,33.2907,43.7,54,5,11.14,clear sky
291,Nouadhibou,MR,20.931,-17.0347,64.38,100,40,8.05,mist
292,Ozernovskiy,RU,51.5,156.5167,52.83,88,100,13.71,overcast clouds
293,Korla,CN,41.7597,86.1469,64.8,31,85,12.75,overcast clouds
294,Champerico,GT,14.3,-91.9167,81.36,78,4,2.35,clear sky
295,San Juan De Uraba,CO,8.7592,-76.5297,79.09,78,100,1.7,overcast clouds
296,Rantepao,ID,-2.9701,119.8978,82.74,58,89,4.23,overcast clouds
297,Hadejia,NG,12.4498,10.0444,79.36,49,100,8.41,overcast clouds
298,Luderitz,NA,-26.6481,15.1594,56.91,88,63,19.01,broken clouds
299,Bloemhof,ZA,-27.6469,25.607,58.15,31,100,7.78,overcast clouds
300,Jalu,LY,29.0331,21.5482,68.43,59,0,8.5,clear sky
301,Papara,BR,-3.9839,-38.7273,81.72,89,31,7.34,scattered clouds
302,Dawlatabad,AF,36.4141,64.9053,55.26,34,0,5.35,clear sky
303,Makat,KZ,47.6469,53.3463,44.92,37,0,2.75,clear sky
304,Deputatskiy,RU,69.3,139.9,21.22,57,1,3.09,clear sky
305,Seydi,TM,39.4816,62.9137,51.17,34,4,17.76,clear sky
306,Arlit,NE,18.7369,7.3853,82.33,17,0,12.86,clear sky
307,Hirara,JP,24.8,125.2833,87.66,70,40,9.22,scattered clouds
308,Nargana,PA,9.4428,-78.5906,80.73,81,74,5.01,broken clouds
309,Kindersley,CA,51.4668,-109.1682,46.42,49,1,11.5,clear sky
310,Ventspils,LV,57.3894,21.5606,44.53,100,2,4.61,mist
311,Benguela,AO,-12.5763,13.4055,68.38,84,50,1.66,scattered clouds
312,Franca,BR,-20.5386,-47.4008,65.25,89,93,6.58,light rain
313,Hobyo,SO,5.3505,48.5268,77.95,83,52,15.68,broken clouds
314,Souillac,MU,-20.5167,57.5167,74.35,73,75,12.66,broken clouds
315,Santhia,IT,45.3663,8.1726,63.93,73,100,2.13,overcast clouds
316,Araouane,ML,18.9048,-3.5265,90.97,18,100,6.33,overcast clouds
317,Merauke,ID,-8.4667,140.3333,82.99,73,41,12.01,scattered clouds
318,Aksehir,TR,38.3575,31.4164,49.06,54,0,3.78,clear sky
319,Aviles,ES,43.5547,-5.9248,62.19,95,0,1.99,clear sky
320,Jacareacanga,BR,-6.2222,-57.7528,73.47,91,75,1.1,broken clouds
321,Atar,MR,20.5169,-13.0499,88.21,36,68,2.62,broken clouds
322,Erzin,TR,36.9559,36.2,63.12,48,0,2.95,clear sky
323,Neiafu,TO,-18.65,-173.9833,79.48,69,40,10.36,scattered clouds
324,Bandiagara,ML,14.3501,-3.6104,77.43,55,98,6.35,overcast clouds
325,Bahia Blanca,AR,-38.7196,-62.2724,54.84,47,98,9.35,overcast clouds
326,Leningradskiy,RU,69.3833,178.4167,16.09,86,12,4.9,few clouds
327,Provideniya,RU,64.3833,-173.3,27.66,77,40,6.4,scattered clouds
328,Wanning,CN,18.8003,110.3967,85.64,56,8,3.11,clear sky
329,Alekseyevsk,RU,57.8406,108.3492,41.27,55,62,1.61,broken clouds
330,Tlacote El Bajo,MX,20.65,-100.5,63.57,78,93,4.27,overcast clouds
331,Banda Aceh,ID,5.5577,95.3222,82.72,68,85,4.27,overcast clouds
332,Campbell River,CA,50.0163,-125.2446,51.33,91,75,0.0,broken clouds
333,Umm Lajj,SA,25.0213,37.2685,79.05,61,5,8.88,clear sky
334,Yarmouth,US,41.7057,-70.2286,59.14,85,20,1.01,few clouds
